     0.7933500000     0.0000000000     0.0000000000     0.0000000000
     0.8302500000     0.0000000000     0.0000000000     0.0000000000
     0.8671500000     0.0000000000     0.0000000000     0.0000000000
     0.9040500000     0.0000000000     0.0000000000     0.0000000000
     0.9409500000     0.0000000000     0.0000000000     0.0000000000
     0.9778500000     0.0000000000     0.0000000000     0.0000000000
     1.0147500000     0.0000000000     0.0000000000     0.0000000000
     1.0516500000     0.0000000000     0.0000000000     0.0000000000
     1.0885500000     0.0000000000     0.0000000000     0.0000000000
     1.1254500000     0.0000000000     0.0000000000     0.0000000000
     1.1623500000     0.0000000000     0.0000000000     0.0000000000
     1.1992500000     0.0000000000     0.0000000000     0.0000000000
     1.2361500000     0.0000000000     0.0000000000     0.0000000000
     1.2730500000     0.0000000000     0.0000000000     0.0000000000
     1.3099500000     0.0000000000     0.0000000000     0.0000000000
     1.3468500000     0.0000000000     0.0000000000     0.0000000000
     1.3837500000     0.0000000000     0.0000248724     0.0000000000
     1.4206500000     0.0000000000     0.0003893535     0.0000471944
     1.4575500000     0.0000000000     0.0020960435     0.0000224176
     1.4944500000     0.0000000000     0.0093187012     0.0001066213
     1.5313500000     0.0000000000     0.0341394538     0.0003858713
     1.5682500000     0.0000000000     0.0940247362     0.0007745833
     1.6051500000     0.0000000000     0.2120452905     0.0020148138
     1.6420500000     0.0000000000     0.4042384847     0.0038858895
     1.6789500000     0.0000000000     0.6502745731     0.0086503912
     1.7158500000     0.0000000000     0.9150941064     0.0160308693
     1.7527500000     0.0000000000     1.1503348204     0.0278115530
     1.7896500000     0.0000000000     1.3153887818     0.0481932517
     1.8265500000     0.0000000000     1.3949397916     0.0765576670
     1.8634500000     0.0000000000     1.3875136155     0.1166633633
     1.9003500000     0.0000000000     1.3175177896     0.1733690566
     1.9372500000     0.0000000000     1.1955852474     0.2448226404
     1.9741500000     0.0000000000     1.0542060742     0.3284235764
     2.0110500000     0.0000000000     0.9097907626     0.4298623720
     2.0479500000     0.0000000000     0.7667611062     0.5486095488
     2.0848500000     0.0000000000     0.6417825173     0.6677948047
     2.1217500000     0.0000000000     0.5325332811     0.7926268647
     2.1586500000     0.0000000000     0.4478436221     0.9187759710
     2.1955500000     0.0000000000     0.3740709545     1.0360879192
     2.2324500000     0.0000000000     0.3151158358     1.1419568542
     2.2693500000     0.0000000000     0.2738461684     1.2272514321
     2.3062500000     0.0000179088     0.2346815389     1.3070477206
     2.3431500000     0.0002255397     0.2125061004     1.3548429548
     2.3800500000     0.0015302040     0.1884168719     1.3799581075
     2.4169500000     0.0072561296     0.1782888119     1.3857169344
     2.4538500000     0.0317333200     0.1705072730     1.3726796496
     2.4907500000     0.1083068746     0.1707322609     1.3404626281
     2.5276500000     0.2755323956     0.1772898373     1.2941792850
     2.5645500000     0.5807833508     0.1906942267     1.2321786372
     2.6014500000     1.0333915873     0.2077972855     1.1624670103
     2.6383500000     1.5635202556     0.2373579145     1.0852739235
     2.6752500000     2.0743377505     0.2761866315     1.0120277266
     2.7121500000     2.4832316230     0.3229909156     0.9482955526
     2.7490500000     2.6987084617     0.3871080123     0.8876164573
     2.7859500000     2.7615632529     0.4616452980     0.8380636774
     2.8228500000     2.6676282103     0.5548578458     0.7942422169
     2.8597500000     2.4470588303     0.6596090545     0.7606293167
     2.8966500000     2.1925164462     0.7736603823     0.7421004788
     2.9335500000     1.9022311966     0.9027980161     0.7310369115
     2.9704500000     1.6451972657     1.0346418663     0.7245548162
     3.0073500000     1.4166004063     1.1598275618     0.7202225518
     3.0442500000     1.2368847667     1.2774790577     0.7291606269
     3.0811500000     1.0818055043     1.3764203606     0.7411839638
     3.1180500000     0.9800197190     1.4608223291     0.7585215655
     3.1549500000     0.8962226867     1.5236178032     0.7785582904
     3.1918500000     0.8507224568     1.5575899892     0.7977188453
     3.2287500000     0.8156909121     1.5726202078     0.8237362554
     3.2656500000     0.8049804883     1.5717457507     0.8465228550
     3.3025500000     0.7983938521     1.5578387337     0.8777459112
     3.3394500000     0.8031236978     1.5310138056     0.9049000194
     3.3763500000     0.8036385703     1.4957059333     0.9371104056
     3.4132500000     0.8261090903     1.4483052290     0.9633088210
     3.4501500000     0.8312991933     1.4100733717     0.9945117992
     3.4870500000     0.8468806366     1.3615446963     1.0257794414
     3.5239500000     0.8665243788     1.3150240751     1.0552692634
     3.5608500000     0.8845076133     1.2677760909     1.0876836848
     3.5977500000     0.9042679795     1.2251602894     1.1138359363
     3.6346500000     0.9238335802     1.1858778486     1.1363459479
     3.6715500000     0.9383355100     1.1497722660     1.1573490045
     3.7084500000     0.9578151574     1.1175214342     1.1693335083
     3.7453500000     0.9690965296     1.0910195939     1.1801718027
     3.7822500000     0.9874748254     1.0696489779     1.1894077673
     3.8191500000     0.9971482462     1.0494435253     1.1873286302
     3.8560500000     1.0117368009     1.0338910251     1.1798545793
     3.8929500000     1.0246088874     1.0246654554     1.1751299015
     3.9298500000     1.0322880203     1.0160850841     1.1584791031
     3.9667500000     1.0495483999     1.0092766149     1.1443422191
     4.0036500000     1.0561472509     1.0048793082     1.1245817609
     4.0405500000     1.0719755387     1.0055145722     1.1069126177
     4.0774500000     1.0839952362     1.0027610518     1.0879227344
     4.1143500000     1.0900843720     1.0007093942     1.0748180927
     4.1512500000     1.0929565959     1.0009197021     1.0582605262
     4.1881500000     1.1000389856     0.9987027421     1.0468388833
     4.2250500000     1.1120924101     0.9982818301     1.0385452210
     4.2619500000     1.1193542935     0.9962311421     1.0311855628
     4.2988500000     1.1206114690     0.9947503383     1.0267542600
     4.3357500000     1.1280230632     0.9911283149     1.0263521167
     4.3726500000     1.1248179745     0.9876096609     1.0266293065
     4.4095500000     1.1285328578     0.9842507415     1.0265330634
     4.4464500000     1.1295658663     0.9836564018     1.0272380902
     4.4833500000     1.1190765726     0.9786215513     1.0255346705
     4.5202500000     1.1166237922     0.9739165285     1.0293626465
     4.5571500000     1.1213274334     0.9699986377     1.0308686540
     4.5940500000     1.1121514254     0.9700171860     1.0295917298
     4.6309500000     1.1056205439     0.9658867101     1.0305985136
     4.6678500000     1.1011586062     0.9647793946     1.0294798181
     4.7047500000     1.0956113133     0.9662957752     1.0311181499
     4.7416500000     1.0837518400     0.9639507025     1.0283315805
     4.7785500000     1.0724269552     0.9635189888     1.0245566739
     4.8154500000     1.0625282918     0.9663145987     1.0192235035
     4.8523500000     1.0537603077     0.9666889784     1.0183310050
     4.8892500000     1.0431585339     0.9686783766     1.0119897362
     4.9261500000     1.0361150197     0.9719689492     1.0092915661
     4.9630500000     1.0251817201     0.9742041616     1.0051035480
     4.9999500000     1.0165108521     0.9790644932     0.9976252600
     5.0368500000     1.0045476007     0.9799199494     0.9908900817
     5.0737500000     0.9925534561     0.9850429138     0.9903629198
     5.1106500000     0.9798405654     0.9871254288     0.9800466204
     5.1475500000     0.9661917873     0.9907763513     0.9768434507
     5.1844500000     0.9601384528     0.9937461515     0.9721575929
     5.2213500000     0.9445890883     0.9981152326     0.9669995253
     5.2582500000     0.9355296404     0.9979957226     0.9637572436
     5.2951500000     0.9255871350     1.0010787963     0.9587886879
     5.3320500000     0.9169818354     1.0025405506     0.9563810429
     5.3689500000     0.9032012704     1.0027895841     0.9554159880
     5.4058500000     0.8980873025     1.0047914785     0.9530858763
     5.4427500000     0.8897454796     1.0034661380     0.9509190184
     5.4796500000     0.8792081201     1.0033026391     0.9521309988
     5.5165500000     0.8695670070     1.0046915074     0.9550926463
     5.5534500000     0.8717507557     0.9997723923     0.9564756461
     5.5903500000     0.8645872846     1.0007906959     0.9565198439
     5.6272500000     0.8652128384     0.9978723295     0.9610093521
     5.6641500000     0.8689523638     0.9958192011     0.9641178938
